Date,sentiment
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,-0.2732
2017-12-17 00:00:00-05:00,0.5859
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,-0.2023
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,-0.4215
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,-0.4019
2017-12-17 00:00:00-05:00,0.7003
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.0
2017-12-17 00:00:00-05:00,0.5859
2017-12-18 00:00:00-05:00,-0.296
2017-12-18 00:00:00-05:00,-0.1027
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.4215
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.5574
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.25
2017-12-18 00:00:00-05:00,-0.296
2017-12-18 00:00:00-05:00,0.5093
2017-12-18 00:00:00-05:00,-0.2263
2017-12-18 00:00:00-05:00,-0.3412
2017-12-18 00:00:00-05:00,0.6124
2017-12-18 00:00:00-05:00,-0.2023
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.296
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.1779
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.6808
2017-12-18 00:00:00-05:00,0.1531
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.3818
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,0.296
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.4215
2017-12-18 00:00:00-05:00,-0.5719
2017-12-18 00:00:00-05:00,0.0
2017-12-18 00:00:00-05:00,-0.6124
2017-12-18 00:00:00-05:00,0.4767
2017-12-18 00:00:00-05:00,0.2732
2017-12-18 00:00:00-05:00,-0.2263
2017-12-18 00:00:00-05:00,0.4627
2017-12-19 00:00:00-05:00,0.0
