date,1. open,2. high,3. low,4. close,5. volume
2023-01-03 04:00:00,370.1831,372.9113,370.1831,372.9113,135764.0
2023-01-03 05:00:00,372.7185,372.7282,371.7449,372.169,111257.0
2023-01-03 06:00:00,372.0148,372.1112,369.7204,370.1446,113506.0
2023-01-03 07:00:00,370.1349,370.6073,369.5469,370.482,368618.0
2023-01-03 08:00:00,369.7301,372.8057,368.9974,370.8483,833922.0
2023-01-03 09:00:00,370.8194,372.5257,367.9274,367.9755,7856732.0
2023-01-03 10:00:00,368.0334,368.8142,366.3946,368.2937,7881844.0
2023-01-03 11:00:00,368.3032,368.5732,365.0256,365.4305,7726948.0
2023-01-03 12:00:00,365.4691,366.3464,364.2361,364.9871,5064866.0
2023-01-03 13:00:00,365.0064,366.3174,364.7268,366.1632,3860740.0
2023-01-03 14:00:00,366.1728,367.0501,364.4858,366.3655,6300646.0
2023-01-03 15:00:00,366.3464,367.5803,366.1535,367.1368,10809893.0
2023-01-03 16:00:00,367.1368,367.2236,366.4813,366.9922,2705860.0
2023-01-03 17:00:00,366.9151,367.0019,366.7898,366.9151,35501.0
2023-01-03 18:00:00,366.8862,367.0886,366.6259,367.0886,98177.0
2023-01-03 19:00:00,367.0886,367.3971,366.9344,367.0694,110350.0
2023-01-04 04:00:00,368.7371,368.8528,368.2551,368.6214,27827.0
2023-01-04 05:00:00,368.6214,369.0938,368.1298,368.3322,11210.0
2023-01-04 06:00:00,368.5443,369.036,368.5058,368.6214,20825.0
2023-01-04 07:00:00,368.525,368.6311,367.6767,368.1009,393478.0
2023-01-04 08:00:00,368.419,369.4891,367.5803,369.142,475726.0
2023-01-04 09:00:00,369.1902,370.347,368.1587,369.4409,6015160.0
2023-01-04 10:00:00,369.3734,370.4434,366.3271,369.195,9704209.0
2023-01-04 11:00:00,369.1902,371.9955,368.5549,371.6099,8154077.0
2023-01-04 12:00:00,371.6292,371.8605,370.5013,370.5109,4676684.0
2023-01-04 13:00:00,370.5206,371.4653,369.8457,370.3181,5067698.0
2023-01-04 14:00:00,370.4338,371.687,367.4261,369.4409,12871633.0
2023-01-04 15:00:00,369.4698,370.2603,367.4996,369.9325,13400112.0
2023-01-04 16:00:00,369.9229,370.1349,369.3637,369.624,5467653.0
2023-01-04 17:00:00,369.518,370.0675,369.4987,369.8072,164602.0
2023-01-04 18:00:00,369.6529,370.0578,369.5855,369.8265,109666.0
2023-01-04 19:00:00,369.7493,369.9421,369.5469,369.5758,66549.0
2023-01-05 04:00:00,369.2191,369.7975,368.7564,369.7975,25811.0
2023-01-05 05:00:00,369.8361,370.4916,369.7879,370.2603,28624.0
2023-01-05 06:00:00,370.2988,370.8676,370.2603,370.4627,69679.0
2023-01-05 07:00:00,370.4531,371.07,369.9903,370.0675,187353.0
2023-01-05 08:00:00,370.4145,371.0508,367.6767,367.9755,949064.0
2023-01-05 09:00:00,367.9273,368.0237,365.257,366.4428,8280876.0
